Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Dec  9 12:25:32 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       virtex_55_map.ncd
OUTPUT FILE:      virtex_55_pad.txt
PART TYPE:        xc4vsx55
SPEED GRADE:      -12
PACKAGE:          ff1148

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|D1        |           |LOWCAPIOB|IO_L8P_CC_LC_10     |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|D2        |           |IOBS     |IO_L7N_10           |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|D3        |           |         |VCCO_10             |         |           |10            |          |         |           |         |any******|          |           |                |
|D4        |           |IOBM     |IO_L3P_10           |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|D5        |           |IOBS     |IO_L27N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|D6        |           |IOBS     |IO_L18N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|D7        |           |IOBM     |IO_L18P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|D8        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|D9        |           |IOBM     |IO_L19P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|D10       |           |IOBS     |IO_L7N_6            |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|D11       |           |IOBM     |IO_L7P_6            |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|D12       |           |IOBM     |IO_L1P_6            |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|D13       |           |         |VCCO_6              |         |           |6             |          |         |           |         |any******|          |           |                |
|D14       |           |IOBS     |IO_L29N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|D15       |           |         |TDP_0               |         |           |              |          |         |           |         |         |          |           |                |
|D16       |           |LOWCAPIOB|IO_L14P_GC_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D17       |           |LOWCAPIOB|IO_L12N_GC_VREF_LC_1|UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D18       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|D19       |           |LOWCAPIOB|IO_L11N_GC_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D20       |           |LOWCAPIOB|IO_L15P_GC_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D21       |           |LOWCAPIOB|IO_L3N_D26_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D22       |           |IOBS     |IO_L23N_VRP_5       |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|D23       |           |         |VCCO_5              |         |           |5             |          |         |           |         |any******|          |           |                |
|D24       |           |IOBM     |IO_L7P_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|D25       |           |IOBS     |IO_L7N_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|D26       |           |IOBM     |IO_L10P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|D27       |           |IOBM     |IO_L12P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|D28       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|D29       |           |IOBM     |IO_L29P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|D30       |           |IOBM     |IO_L26P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|D31       |           |IOBS     |IO_L26N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|D32       |           |IOBS     |IO_L2N_9            |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|D33       |           |         |VCCO_9              |         |           |9             |          |         |           |         |any******|          |           |                |
|D34       |           |LOWCAPIOB|IO_L8P_CC_LC_9      |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|E1        |           |LOWCAPIOB|IO_L8N_CC_LC_10     |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|E2        |           |LOWCAPIOB|IO_L9N_CC_LC_10     |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|E3        |           |LOWCAPIOB|IO_L9P_CC_LC_10     |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|E4        |           |IOBS     |IO_L3N_10           |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|E5        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|E6        |           |IOBM     |IO_L26P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|E7        |           |IOBS     |IO_L23N_VRP_6       |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|E8        |           |IOBM     |IO_L23P_VRN_6       |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|E9        |           |IOBS     |IO_L19N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|E10       |           |         |VCCO_6              |         |           |6             |          |         |           |         |any******|          |           |                |
|E11       |           |IOBM     |IO_L11P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|E12       |           |IOBS     |IO_L21N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|E13       |           |IOBM     |IO_L21P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|E14       |           |IOBM     |IO_L29P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|E15       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|E16       |           |LOWCAPIOB|IO_L6P_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E17       |           |LOWCAPIOB|IO_L4N_GC_VREF_LC_3 |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E18       |test       |IOB      |IO_L4P_GC_LC_3      |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |         |LOCATED   |NO         |NONE            |
|E19       |           |LOWCAPIOB|IO_L11P_GC_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E20       |           |         |VCCO_1              |         |           |1             |          |         |           |         |any******|          |           |                |
|E21       |           |LOWCAPIOB|IO_L3P_D27_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E22       |           |IOBM     |IO_L23P_VRN_5       |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|E23       |           |LOWCAPIOB|IO_L9N_CC_LC_5      |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|E24       |           |IOBS     |IO_L11N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|E25       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|E26       |           |IOBS     |IO_L10N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|E27       |           |IOBS     |IO_L12N_VREF_5      |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|E28       |           |IOBM     |IO_L22P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|E29       |           |IOBS     |IO_L29N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|E30       |           |         |VCCO_5              |         |           |5             |          |         |           |         |any******|          |           |                |
|E31       |           |IOBM     |IO_L32P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|E32       |           |IOBM     |IO_L11P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|E33       |           |IOBS     |IO_L11N_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|E34       |           |LOWCAPIOB|IO_L8N_CC_LC_9      |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|F1        |           |IOBM     |IO_L17P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|F2        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|F3        |           |IOBS     |IO_L6N_10           |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|F4        |           |IOBM     |IO_L6P_10           |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|F5        |           |IOBM     |IO_L2P_10           |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|F6        |           |IOBS     |IO_L26N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|F7        |           |         |VCCO_6              |         |           |6             |          |         |           |         |any******|          |           |                |
|F8        |           |IOBM     |IO_L16P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|F9        |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|F10       |           |IOBM     |IO_L6P_6            |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|F11       |           |IOBS     |IO_L11N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|F12       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|F13       |           |LOWCAPIOB|IO_L8P_D17_CC_LC_1  |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F14       |           |LOWCAPIOB|IO_L22N_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F15       |           |         |TDN_0               |         |           |              |          |         |           |         |         |          |           |                |
|F16       |           |LOWCAPIOB|IO_L6N_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F17       |           |         |VCCO_3              |         |           |3             |          |         |           |         |2.50     |          |           |                |
|F18       |clk        |IOB      |IO_L1P_GC_CC_LC_3   |INPUT    |LVCMOS25*  |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|F19       |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|F20       |           |LOWCAPIOB|IO_L23N_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F21       |           |LOWCAPIOB|IO_L23P_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F22       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|F23       |           |LOWCAPIOB|IO_L9P_CC_LC_5      |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|F24       |           |IOBM     |IO_L11P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|F25       |           |IOBM     |IO_L6P_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|F26       |           |IOBS     |IO_L6N_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|F27       |           |         |VCCO_5              |         |           |5             |          |         |           |         |any******|          |           |                |
|F28       |           |IOBS     |IO_L22N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|F29       |           |IOBM     |IO_L28P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|F30       |           |IOBS     |IO_L28N_VREF_5      |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|F31       |           |IOBS     |IO_L32N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|F32       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|F33       |           |IOBM     |IO_L14P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|F34       |           |IOBS     |IO_L14N_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|G1        |           |IOBS     |IO_L17N_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|G2        |           |IOBS     |IO_L14N_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|G3        |           |IOBM     |IO_L14P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|G4        |           |         |VCCO_10             |         |           |10            |          |         |           |         |any******|          |           |                |
|G5        |           |IOBS     |IO_L2N_10           |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|G6        |           |IOBS     |IO_L28N_VREF_6      |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|G7        |           |IOBM     |IO_L28P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|G8        |           |IOBS     |IO_L16N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|G9        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|G10       |           |IOBS     |IO_L6N_6            |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|G11       |           |IOBS     |IO_L5N_6            |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|G12       |           |IOBM     |IO_L5P_6            |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|G13       |           |LOWCAPIOB|IO_L8N_D16_CC_LC_1  |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G14       |           |         |VCCO_1              |         |           |1             |          |         |           |         |any******|          |           |                |
|G15       |           |LOWCAPIOB|IO_L22P_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G16       |           |LOWCAPIOB|IO_L8N_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G17       |           |LOWCAPIOB|IO_L8P_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G18       |           |LOWCAPIOB|IO_L1N_GC_CC_LC_3   |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G19       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|G20       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|G21       |           |LOWCAPIOB|IO_L21P_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G22       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|G23       |           |IOBM     |IO_L13P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|G24       |           |         |VCCO_5              |         |           |5             |          |         |           |         |any******|          |           |                |
|G25       |           |IOBM     |IO_L4P_5            |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|G26       |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|G27       |           |IOBM     |IO_L27P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|G28       |           |IOBS     |IO_L27N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|G29       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|G30       |           |LOWCAPIOB|IO_L9P_CC_LC_9      |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|G31       |           |LOWCAPIOB|IO_L9N_CC_LC_9      |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|G32       |           |IOBM     |IO_L16P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|G33       |           |IOBS     |IO_L16N_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|G34       |           |         |VCCO_9              |         |           |9             |          |         |           |         |any******|          |           |                |
|H1        |           |         |VCCO_10             |         |           |10            |          |         |           |         |any******|          |           |                |
|H2        |           |IOBS     |IO_L19N_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|H3        |           |IOBM     |IO_L19P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|H4        |           |IOBS     |IO_L11N_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|H5        |           |IOBM     |IO_L11P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|H6        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|H7        |           |IOBS     |IO_L31N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|H8        |           |IOBM     |IO_L31P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|H9        |           |LOWCAPIOB|IO_L8N_CC_LC_6      |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|H10       |           |LOWCAPIOB|IO_L8P_CC_LC_6      |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|H11       |           |         |VCCO_6              |         |           |6             |          |         |           |         |any******|          |           |                |
|H12       |           |IOBM     |IO_L13P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|H13       |           |LOWCAPIOB|IO_L6N_D20_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H14       |           |LOWCAPIOB|IO_L6P_D21_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H15       |           |LOWCAPIOB|IO_L20P_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H16       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|H17       |           |LOWCAPIOB|IO_L2P_GC_VRN_LC_3  |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H18       |           |LOWCAPIOB|IO_L3N_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H19       |           |LOWCAPIOB|IO_L3P_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H20       |           |LOWCAPIOB|IO_L21N_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H21       |           |         |VCCO_1              |         |           |1             |          |         |           |         |any******|          |           |                |
|H22       |           |LOWCAPIOB|IO_L7P_D19_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H23       |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|H24       |           |IOBS     |IO_L13N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|H25       |           |IOBS     |IO_L4N_VREF_5       |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|H26       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|H27       |           |IOBM     |IO_L1P_9            |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|H28       |           |IOBS     |IO_L1N_9            |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|H29       |           |IOBM     |IO_L6P_9            |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|H30       |           |IOBS     |IO_L6N_9            |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|H31       |           |         |VCCO_9              |         |           |9             |          |         |           |         |any******|          |           |                |
|H32       |           |IOBM     |IO_L20P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|H33       |           |IOBM     |IO_L22P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|H34       |           |IOBS     |IO_L22N_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|J1        |           |IOBS     |IO_L23N_VRP_10      |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|J2        |           |IOBM     |IO_L23P_VRN_10      |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|J3        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|J4        |           |IOBM     |IO_L18P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|J5        |           |IOBS     |IO_L10N_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|J6        |           |IOBM     |IO_L10P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|J7        |           |IOBS     |IO_L32N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|J8        |           |         |VCCO_6              |         |           |6             |          |         |           |         |any******|          |           |                |
|J9        |           |LOWCAPIOB|IO_L24P_CC_LC_6     |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|J10       |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|J11       |           |IOBS     |IO_L13N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|J12       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|J13       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|J14       |           |LOWCAPIOB|IO_L4P_D25_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J15       |           |LOWCAPIOB|IO_L20N_VREF_LC_1   |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J16       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|J17       |           |LOWCAPIOB|IO_L2N_GC_VRP_LC_3  |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J18       |           |         |VCCO_3              |         |           |3             |          |         |           |         |2.50     |          |           |                |
|J19       |           |LOWCAPIOB|IO_L7N_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J20       |           |LOWCAPIOB|IO_L19P_LC_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J21       |           |LOWCAPIOB|IO_L7N_D18_LC_1     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J22       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|J23       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|J24       |           |IOBS     |IO_L19N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|J25       |           |IOBM     |IO_L16P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|J26       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|J27       |           |IOBM     |IO_L3P_9            |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|J28       |           |         |VCCO_9              |         |           |9             |          |         |           |         |any******|          |           |                |
|J29       |           |IOBM     |IO_L10P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|J30       |           |IOBS     |IO_L10N_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|J31       |           |IOBM     |IO_L23P_VRN_9       |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|J32       |           |IOBS     |IO_L20N_VREF_9      |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|J33       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|J34       |           |IOBM     |IO_L29P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|K1        |           |IOBS     |IO_L26N_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|K2        |           |IOBM     |IO_L26P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|K3        |           |LOWCAPIOB|IO_L25P_CC_LC_10    |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|K4        |           |IOBS     |IO_L18N_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|K5        |           |         |VCCO_10             |         |           |10            |          |         |           |         |any******|          |           |                |
|K6        |           |IOBM     |IO_L16P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|K7        |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|K8        |           |IOBM     |IO_L32P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|K9        |           |LOWCAPIOB|IO_L24N_CC_LC_6     |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|K10       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|K11       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|K12       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|K13       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|K14       |           |LOWCAPIOB|IO_L4N_D24_VREF_LC_1|UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|K15       |           |         |VCCO_1              |         |           |1             |          |         |           |         |any******|          |           |                |
|K16       |           |LOWCAPIOB|IO_L18P_VRN_LC_1    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|K17       |           |LOWCAPIOB|IO_L5N_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|K18       |           |LOWCAPIOB|IO_L5P_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|K19       |           |LOWCAPIOB|IO_L7P_GC_LC_3      |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|K20       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|K21       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|K22       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|K23       |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|K24       |           |IOBM     |IO_L19P_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|K25       |           |         |VCCO_5              |         |           |5             |          |         |           |         |any******|          |           |                |
|K26       |           |IOBS     |IO_L16N_5           |UNUSED   |           |5             |          |         |           |         |         |          |           |                |
|K27       |           |IOBS     |IO_L3N_9            |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|K28       |           |IOBM     |IO_L15P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|K29       |           |IOBS     |IO_L15N_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|K30       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|K31       |           |IOBS     |IO_L23N_VRP_9       |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|K32       |           |IOBM     |IO_L26P_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|K33       |           |IOBS     |IO_L26N_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|K34       |           |IOBS     |IO_L29N_9           |UNUSED   |           |9             |          |         |           |         |         |          |           |                |
|L1        |           |IOBM     |IO_L29P_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|L2        |           |         |VCCO_10             |         |           |10            |          |         |           |         |any******|          |           |                |
|L3        |           |LOWCAPIOB|IO_L25N_CC_LC_10    |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
|L4        |           |IOBS     |IO_L22N_10          |UNUSED   |           |10            |          |         |           |         |         |          |           |                |
